weight,eps,min_samples,n_clusters,n_noise,silhouette
1.0,0.36,4,4,45,0.1667
1.0,0.37,4,4,40,0.0797
1.0,0.38,3,5,17,0.1313
1.0,0.38,4,3,34,0.2821
1.0,0.38,5,3,49,0.1898
1.0,0.39,3,5,16,0.1302
1.0,0.39,4,3,28,0.282
1.0,0.39,5,3,42,0.1964
1.0,0.4,3,5,16,0.1302
1.0,0.4,5,3,38,0.1957
1.0,0.41,3,5,14,0.1299
1.0,0.41,6,3,38,0.2189
1.0,0.42,3,5,14,0.1299
1.0,0.43,3,5,12,0.1271
1.0,0.43,4,3,20,0.2599
1.0,0.44,3,4,12,0.1492
1.0,0.45,3,4,11,0.149
1.0,0.46,3,4,9,0.147
1.0,0.47,3,4,9,0.147
1.0,0.48,3,4,8,0.1469
1.0,0.49,3,4,8,0.1469
1.0,0.5,3,4,8,0.1469
1.0,0.51,3,3,8,0.3219
1.0,0.52,3,3,7,0.3205
1.0,0.53,3,3,5,0.3174
1.0,0.54,3,3,5,0.3174
1.0,0.55,3,3,5,0.3174
1.0,0.56,3,3,5,0.3174
1.0,0.57,3,3,5,0.3174
1.0,0.58,3,3,5,0.3174
1.2105263157894737,0.36,4,4,45,0.1667
1.2105263157894737,0.37,4,4,40,0.0797
1.2105263157894737,0.38,3,5,17,0.1313
1.2105263157894737,0.38,4,3,34,0.2821
1.2105263157894737,0.38,5,3,49,0.1898
1.2105263157894737,0.39,3,5,16,0.1302
1.2105263157894737,0.39,4,3,28,0.282
1.2105263157894737,0.39,5,3,42,0.1964
1.2105263157894737,0.4,3,5,16,0.1302
1.2105263157894737,0.4,5,3,38,0.1957
1.2105263157894737,0.41,3,5,14,0.1299
1.2105263157894737,0.41,6,3,38,0.2189
1.2105263157894737,0.42,3,5,14,0.1299
1.2105263157894737,0.43,3,5,12,0.1271
1.2105263157894737,0.43,4,3,20,0.2599
1.2105263157894737,0.44,3,4,12,0.1492
1.2105263157894737,0.45,3,4,11,0.149
1.2105263157894737,0.46,3,4,9,0.147
1.2105263157894737,0.47,3,4,9,0.147
1.2105263157894737,0.48,3,4,8,0.1469
1.2105263157894737,0.49,3,4,8,0.1469
1.2105263157894737,0.5,3,4,8,0.1469
1.2105263157894737,0.51,3,3,8,0.3219
1.2105263157894737,0.52,3,3,7,0.3205
1.2105263157894737,0.53,3,3,5,0.3174
1.2105263157894737,0.54,3,3,5,0.3174
